InvoiceDate,Revenue,Transactions,Customers,Units_Sold,AOV,Revenue_per_Customer,Month_Name,MoM_Growth_%,Revenue_Contribution_%,Cumulative_Revenue_%,Month_Num
2010-12-31,821452.73,1629,885,361094,504.26809699201965,928.1951751412429,Dec 2010,,7.7188890919200395,7.7188890919200395,12
2011-01-31,689811.61,1120,741,397030,615.9032232142857,930.9198515519568,Jan 2011,-16.025404164156832,6.481905917956837,14.200795009876877,1
2011-02-28,522545.56,1126,758,286074,464.07243339253995,689.3740897097625,Feb 2011,-24.24807694958918,4.9101683831706895,19.110963393047566,2
2011-03-31,716215.26,1531,974,384023,467.80879163945133,735.3339425051335,Mar 2011,37.06273956284309,6.730011303122304,25.84097469616987,3
2011-04-30,536968.491,1318,856,311314,407.41160166919576,627.2996390186917,Apr 2011,-25.026940783138297,5.045695359591372,30.886670055761243,4
2011-05-31,769296.61,1731,1056,398686,444.4232293471981,728.5005776515152,May 2011,43.2666204617209,7.228797220480435,38.11546727624168,5
2011-06-30,760547.01,1576,991,393633,482.58059010152283,767.4540968718467,Jun 2011,-1.1373506507457498,7.14658044825221,45.26204772449389,6
2011-07-31,718076.121,1540,949,405473,466.2831954545455,756.6660916754479,Jul 2011,-5.584255600452625,6.747497129329834,52.009544853823726,7
2011-08-31,757841.38,1407,935,424264,538.6221606254442,810.5255401069519,Aug 2011,5.537749806332859,7.121156638541611,59.13070149236534,8
2011-09-30,1056435.192,1896,1266,574169,557.1915569620253,834.4669763033176,Sep 2011,39.40056849363385,9.926932837449153,69.05763432981449,9
2011-10-31,1151263.73,2129,1364,626373,540.7532785345232,844.0349926686217,Oct 2011,8.976275943673784,10.818001721681755,79.87563605149624,10
2011-11-30,1503866.78,2884,1665,768468,521.4517267683773,903.2232912912913,Nov 2011,30.627478379780104,14.131282860114075,94.00691891161031,11
2011-12-31,637790.33,839,615,314416,760.1791775923718,1037.0574471544714,Dec 2011,-57.58997150000216,5.99308108838969,100.0,12
